CNTRYID,AGEG10LFS,Percentage,Mean,s.e.±ê×¼Îó²î
Austria,24 or less,898,279.27,1.63
Austria,25-34,958,282.06,1.73
Austria,35-44,1117,281.35,2.01
Austria,45-54,1188,274.48,1.67
Austria,55 plus,969,257.48,1.74
Belgium,24 or less,994,282.82,1.74
Belgium,25-34,895,293.86,1.71
Belgium,35-44,932,289.92,1.68
Belgium,45-54,1082,280.03,1.72
Belgium,55 plus,956,260.04,1.64
Canada,24 or less,931,268.77,1.46
Canada,25-34,963,277.43,1.53
Canada,35-44,1002,272.28,1.52
Canada,45-54,1154,261.32,1.49
Canada,55 plus,889,252.75,1.44
Denmark,24 or less,935,273.53,1.52
Denmark,25-34,916,287.21,1.56
Denmark,35-44,1103,290.04,1.49
Denmark,45-54,1088,277.85,1.46
Denmark,55 plus,1032,265.93,1.44
Finland,24 or less,913,283.56,1.65
Finland,25-34,937,304.22,1.77
Finland,35-44,981,293.08,1.75
Finland,45-54,1009,278.63,1.82
Finland,55 plus,1282,260.02,1.46
France,24 or less,885,263.32,1.59
France,25-34,943,269.01,1.49
France,35-44,1106,262.94,1.53
France,45-54,1043,246.77,1.48
France,55 plus,992,234.47,1.52
Germany,24 or less,857,274.52,1.56
Germany,25-34,946,283.36,1.55
Germany,35-44,1118,288.73,1.53
Germany,45-54,1233,268.85,1.62
Germany,55 plus,972,256.64,1.64
Spain,24 or less,849,256.88,1.61
Spain,25-34,955,257.45,1.56
Spain,35-44,1284,254.83,1.58
Spain,45-54,1163,244.39,1.62
Spain,55 plus,1002,221.26,1.63
